,average,coordinate_x,coordinate_y,decoration_condition,deed,elevator,facility0,facility1,facility2,facility3,facility4,facility5,level,total,framework,house_term,ownership,price,purpose,apt,lift,district,rights,scale,structure,bath,kitchen,room,saloon
1861,1.39579548,-0.136837776,0.231396513,-0.7757347859999999,1.4832291919999998,-0.8369008059999999,1.615759288,3.358213906,-0.476088258,-0.16829996,2.3417499619999997,1.9119909030000002,1.100629641,-0.614502428,-1.190571817,1.6850580819999998,-0.8645953820000001,8550000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,0.34514262,1.429758429,-0.465698785,-0.04022008,1.045607526,-0.679044164
1862,1.724238311,-0.07421499299999999,0.263031452,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,-0.351920854,0.839932531,1.6850580819999998,1.156610388,17000000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,2.35614991,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1863,2.108092687,-0.11240221,0.248962691,-0.7757347859999999,1.4832291919999998,1.194884738,1.615759288,-0.297777339,-0.476088258,-0.16829996,2.3417499619999997,1.9119909030000002,-1.3480447619999998,2.7990580360000004,0.839932531,0.900502537,-0.8645953820000001,6800000,0.040252748,2.223579622,3.877041522,0.066797197,0.285922755,-0.424816039,-0.660088119,-0.465698785,-0.04022008,-0.156303664,-0.679044164
1864,1.902168811,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,1.100629641,1.354859379,0.839932531,1.6850580819999998,-0.8645953820000001,11000000,0.040252748,1.005615746,1.717146314,0.066797197,0.285922755,0.6929432609999999,-0.660088119,1.530768854,-0.04022008,-0.156303664,0.924514114
1865,3.439551606,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,1.100629641,1.354859379,0.839932531,1.6850580819999998,-0.8645953820000001,14000000,0.040252748,1.005615746,1.717146314,0.066797197,0.285922755,0.5694140679999999,-0.660088119,1.530768854,-0.04022008,-0.156303664,0.924514114
1866,2.901158454,-0.069613392,0.222415705,0.784828297,1.4832291919999998,-0.8369008059999999,-0.61890407,-0.297777339,-0.476088258,-0.16829996,2.3417499619999997,-0.5230150410000001,-0.12370756,-0.877084002,0.839932531,0.900502537,1.156610388,15000000,0.040252748,-0.618336089,-0.442748893,0.066797197,0.285922755,1.024673113,-0.660088119,-0.465698785,-0.04022008,1.045607526,0.924514114
1867,1.348964095,-0.075202136,0.181070598,0.784828297,1.4832291919999998,1.194884738,1.615759288,-0.297777339,2.1004508769999997,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,0.960987017,0.839932531,1.6850580819999998,-0.8645953820000001,12600000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,1.518070298,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1868,2.8690907,-0.048344274000000007,0.229735679,-0.7757347859999999,1.4832291919999998,-0.8369008059999999,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,-0.614502428,0.839932531,1.6850580819999998,-0.8645953820000001,12000000,0.040252748,-0.618336089,-0.442748893,0.066797197,0.285922755,0.424776974,-0.660088119,-0.465698785,-0.04022008,1.045607526,0.924514114
1869,1.9499588719999998,-0.07421499299999999,0.263031452,0.784828297,1.4832291919999998,1.194884738,1.615759288,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,-0.351920854,0.839932531,0.900502537,1.156610388,8200000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,-0.024965234,1.429758429,-0.465698785,-0.04022008,-0.156303664,-0.679044164
1870,2.919421256,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,-0.22063006699999999,0.839932531,1.6850580819999998,-0.8645953820000001,8000000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,-0.41330263899999997,-0.660088119,-0.465698785,-0.04022008,-0.156303664,-0.679044164
1871,2.474499138,-0.008676345,0.235359668,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,-0.5230150410000001,-0.12370756,1.354859379,0.839932531,1.6850580819999998,-0.8645953820000001,15000000,0.040252748,0.193639828,1.717146314,0.066797197,0.285922755,1.277008474,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1872,1.9242663219999998,-0.137840105,0.217055341,-0.7757347859999999,1.4832291919999998,1.194884738,-0.61890407,3.358213906,-0.476088258,-0.16829996,-0.427031073,1.9119909030000002,-0.12370756,2.536476462,0.839932531,0.115946992,-0.8645953820000001,5200000,0.040252748,1.8175916630000002,3.877041522,0.066797197,0.285922755,-0.757025616,-0.660088119,-0.465698785,-0.04022008,-1.358214855,-0.679044164
1873,2.474499138,-0.008676345,0.235359668,0.784828297,-0.674204638,1.194884738,1.615759288,3.358213906,2.1004508769999997,-0.16829996,-0.427031073,-0.5230150410000001,-1.3480447619999998,1.354859379,0.839932531,-0.668608553,1.156610388,15000000,0.040252748,0.193639828,1.717146314,0.066797197,0.285922755,1.277008474,-0.660088119,1.530768854,-0.04022008,1.045607526,0.924514114
1874,3.6211250789999996,-0.008676345,0.235359668,-0.7757347859999999,-0.674204638,1.194884738,-0.61890407,-0.297777339,2.1004508769999997,-0.16829996,2.3417499619999997,1.9119909030000002,-1.3480447619999998,-0.351920854,0.839932531,-0.668608553,-0.8645953820000001,9000000,0.040252748,-0.21234813100000002,-0.442748893,0.066797197,0.285922755,-0.41258305100000003,1.429758429,-0.465698785,-0.04022008,-0.156303664,0.924514114
1875,2.036767099,-0.137840105,0.217055341,0.784828297,1.4832291919999998,1.194884738,-0.61890407,-0.297777339,-0.476088258,-0.16829996,-0.427031073,1.9119909030000002,-1.3480447619999998,2.536476462,0.839932531,0.115946992,-0.8645953820000001,9600000,0.040252748,0.5996277870000001,3.877041522,0.066797197,0.285922755,0.276781805,-0.660088119,-0.465698785,-0.04022008,-0.156303664,0.924514114
